"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 22:27:26 EEST 2023","Mon Sep 25 22:27:27 EEST 2023","1331","","Utilities","","","","Cypress._ - call a lodash method",""
"passed","Mon Sep 25 22:25:48 EEST 2023","Mon Sep 25 22:25:49 EEST 2023","658","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Mon Sep 25 22:27:00 EEST 2023","Mon Sep 25 22:27:01 EEST 2023","636","","Spies, Stubs, and Clock","","","","cy.spy() - wrap a method in a spy",""
"passed","Mon Sep 25 22:24:31 EEST 2023","Mon Sep 25 22:24:33 EEST 2023","1418","","lOGIN Home Page","","","","Empty Password",""
"passed","Mon Sep 25 22:23:20 EEST 2023","Mon Sep 25 22:23:41 EEST 2023","20739","","Employees Table Data Validation All Step Using UI","","","","Employees Table Data Validation",""
"passed","Mon Sep 25 22:26:55 EEST 2023","Mon Sep 25 22:26:55 EEST 2023","180","","Querying","","","","cy.root() - query the root DOM element",""
"passed","Mon Sep 25 22:26:42 EEST 2023","Mon Sep 25 22:26:43 EEST 2023","835","","Network Requests","","","","cy.request() - verify response using BDD syntax",""
"passed","Mon Sep 25 22:27:19 EEST 2023","Mon Sep 25 22:27:19 EEST 2023","192","","Traversal","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Mon Sep 25 22:25:42 EEST 2023","Mon Sep 25 22:25:44 EEST 2023","1718","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Mon Sep 25 22:25:40 EEST 2023","Mon Sep 25 22:25:40 EEST 2023","255","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Mon Sep 25 22:25:23 EEST 2023","Mon Sep 25 22:25:24 EEST 2023","1130","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Mon Sep 25 22:27:04 EEST 2023","Mon Sep 25 22:27:04 EEST 2023","38","","Spies, Stubs, and Clock","","","","cy.stub() matches depending on arguments",""
"passed","Mon Sep 25 22:25:58 EEST 2023","Mon Sep 25 22:25:58 EEST 2023","333","","Cookies","","","","cy.clearAllCookies() - clear all browser cookies",""
"passed","Mon Sep 25 22:27:20 EEST 2023","Mon Sep 25 22:27:20 EEST 2023","204","","Traversal","","","",".prev() - get previous sibling DOM element",""
"passed","Mon Sep 25 22:27:11 EEST 2023","Mon Sep 25 22:27:11 EEST 2023","301","","Local Storage / Session Storage","","","","cy.clearAllLocalStorage() - clear all data in localStorage for all origins",""
"passed","Mon Sep 25 22:26:32 EEST 2023","Mon Sep 25 22:26:34 EEST 2023","2066","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Mon Sep 25 22:26:43 EEST 2023","Mon Sep 25 22:26:45 EEST 2023","1144","","Network Requests","","","","cy.request() - pass result to the second request",""
"passed","Mon Sep 25 22:27:19 EEST 2023","Mon Sep 25 22:27:20 EEST 2023","208","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Mon Sep 25 22:26:54 EEST 2023","Mon Sep 25 22:26:54 EEST 2023","230","","Querying","","","","cy.contains() - query DOM elements with matching content",""
"passed","Mon Sep 25 22:27:28 EEST 2023","Mon Sep 25 22:27:28 EEST 2023","180","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Mon Sep 25 22:27:10 EEST 2023","Mon Sep 25 22:27:11 EEST 2023","292","","Local Storage / Session Storage","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Mon Sep 25 22:25:42 EEST 2023","Mon Sep 25 22:25:42 EEST 2023","213","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Mon Sep 25 22:25:50 EEST 2023","Mon Sep 25 22:25:51 EEST 2023","199","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Mon Sep 25 22:27:34 EEST 2023","Mon Sep 25 22:27:38 EEST 2023","3347","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Mon Sep 25 22:27:20 EEST 2023","Mon Sep 25 22:27:20 EEST 2023","201","","Traversal","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Mon Sep 25 22:27:04 EEST 2023","Mon Sep 25 22:27:04 EEST 2023","390","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"passed","Mon Sep 25 22:24:29 EEST 2023","Mon Sep 25 22:24:30 EEST 2023","1178","","lOGIN Home Page","","","","Empty Username and Empty Password",""
"passed","Mon Sep 25 22:25:50 EEST 2023","Mon Sep 25 22:25:50 EEST 2023","214","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Mon Sep 25 22:25:40 EEST 2023","Mon Sep 25 22:25:41 EEST 2023","225","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Mon Sep 25 22:27:43 EEST 2023","Mon Sep 25 22:27:48 EEST 2023","5282","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Mon Sep 25 22:27:03 EEST 2023","Mon Sep 25 22:27:04 EEST 2023","184","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Mon Sep 25 22:27:04 EEST 2023","Mon Sep 25 22:27:04 EEST 2023","282","","Spies, Stubs, and Clock","","","","cy.clock() - control time in the browser",""
"passed","Mon Sep 25 22:25:49 EEST 2023","Mon Sep 25 22:25:50 EEST 2023","215","","Connectors","","","",".invoke() - invoke a function on the current subject",""
"passed","Mon Sep 25 22:21:31 EEST 2023","Mon Sep 25 22:21:32 EEST 2023","1174","","example to-do app","","","","displays two todo items by default",""
"passed","Mon Sep 25 22:27:18 EEST 2023","Mon Sep 25 22:27:18 EEST 2023","196","","Traversal","","","",".last() - get last DOM element",""
"passed","Mon Sep 25 22:27:18 EEST 2023","Mon Sep 25 22:27:18 EEST 2023","179","","Traversal","","","",".next() - get next sibling DOM element",""
"passed","Mon Sep 25 22:25:21 EEST 2023","Mon Sep 25 22:25:22 EEST 2023","1123","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Mon Sep 25 22:27:27 EEST 2023","Mon Sep 25 22:27:28 EEST 2023","647","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Mon Sep 25 22:25:41 EEST 2023","Mon Sep 25 22:25:41 EEST 2023","252","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Mon Sep 25 22:26:13 EEST 2023","Mon Sep 25 22:26:13 EEST 2023","191","","Files","","","","cy.fixture() or require - load a fixture",""
"passed","Mon Sep 25 22:25:57 EEST 2023","Mon Sep 25 22:25:57 EEST 2023","314","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Mon Sep 25 22:26:19 EEST 2023","Mon Sep 25 22:26:19 EEST 2023","160","","Location","","","","cy.url() - get the current URL",""
"passed","Mon Sep 25 22:27:11 EEST 2023","Mon Sep 25 22:27:11 EEST 2023","274","","Local Storage / Session Storage","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"failed","Mon Sep 25 22:26:05 EEST 2023","Mon Sep 25 22:26:06 EEST 2023","480","Cypress APIs","Cypress.config()","","","","Get and set configuration options",""
"passed","Mon Sep 25 22:27:55 EEST 2023","Mon Sep 25 22:27:55 EEST 2023","196","","Window","","","","cy.title() - get the title",""
"passed","Mon Sep 25 22:26:41 EEST 2023","Mon Sep 25 22:26:42 EEST 2023","1332","","Network Requests","","","","cy.request() - make an XHR request",""
"passed","Mon Sep 25 22:25:41 EEST 2023","Mon Sep 25 22:25:42 EEST 2023","215","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Mon Sep 25 22:25:33 EEST 2023","Mon Sep 25 22:25:35 EEST 2023","1168","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Mon Sep 25 22:21:33 EEST 2023","Mon Sep 25 22:21:33 EEST 2023","332","","example to-do app","","","","can check off an item as completed",""
"passed","Mon Sep 25 22:26:06 EEST 2023","Mon Sep 25 22:26:06 EEST 2023","175","Cypress APIs","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Mon Sep 25 22:25:20 EEST 2023","Mon Sep 25 22:25:20 EEST 2023","362","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Mon Sep 25 22:26:27 EEST 2023","Mon Sep 25 22:26:27 EEST 2023","335","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Mon Sep 25 22:25:24 EEST 2023","Mon Sep 25 22:25:24 EEST 2023","256","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Mon Sep 25 22:27:09 EEST 2023","Mon Sep 25 22:27:10 EEST 2023","976","","Local Storage / Session Storage","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Mon Sep 25 22:26:04 EEST 2023","Mon Sep 25 22:26:04 EEST 2023","267","Cypress APIs","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Mon Sep 25 22:27:17 EEST 2023","Mon Sep 25 22:27:18 EEST 2023","190","","Traversal","","","",".filter() - get DOM elements that match the selector",""
"passed","Mon Sep 25 22:27:18 EEST 2023","Mon Sep 25 22:27:18 EEST 2023","208","","Traversal","","","",".find() - get descendant DOM elements of the selector",""
"passed","Mon Sep 25 22:21:32 EEST 2023","Mon Sep 25 22:21:33 EEST 2023","580","","example to-do app","","","","can add new todo items",""
"passed","Mon Sep 25 22:26:24 EEST 2023","Mon Sep 25 22:26:25 EEST 2023","887","","Misc","","","",".end() - end the command chain",""
"passed","Mon Sep 25 22:26:26 EEST 2023","Mon Sep 25 22:26:27 EEST 2023","1147","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Mon Sep 25 22:26:45 EEST 2023","Mon Sep 25 22:26:46 EEST 2023","1062","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Mon Sep 25 22:25:15 EEST 2023","Mon Sep 25 22:25:16 EEST 2023","741","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Mon Sep 25 22:26:46 EEST 2023","Mon Sep 25 22:26:48 EEST 2023","2282","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Mon Sep 25 22:25:16 EEST 2023","Mon Sep 25 22:25:17 EEST 2023","686","","Actions","","","",".submit() - submit a form",""
"passed","Mon Sep 25 22:25:50 EEST 2023","Mon Sep 25 22:25:50 EEST 2023","218","","Connectors","","","",".spread() - spread an array as individual args to callback function",""
"passed","Mon Sep 25 22:24:12 EEST 2023","Mon Sep 25 22:24:19 EEST 2023","7169","","lOGIN Home Page","","","","Valid User Login and valid Username valid pass",""
"passed","Mon Sep 25 22:26:06 EEST 2023","Mon Sep 25 22:26:07 EEST 2023","184","Cypress APIs","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Mon Sep 25 22:25:24 EEST 2023","Mon Sep 25 22:25:24 EEST 2023","391","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Mon Sep 25 22:23:48 EEST 2023","Mon Sep 25 22:23:57 EEST 2023","8337","","Forget Password","","","","Forget password",""
"passed","Mon Sep 25 22:27:11 EEST 2023","Mon Sep 25 22:27:11 EEST 2023","279","","Local Storage / Session Storage","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Mon Sep 25 22:26:54 EEST 2023","Mon Sep 25 22:26:54 EEST 2023","210","","Querying","","","",".within() - query DOM elements within a specific element",""
"passed","Mon Sep 25 22:25:33 EEST 2023","Mon Sep 25 22:25:33 EEST 2023","765","","Aliasing","","","",".as() - alias a DOM element for later use",""
"passed","Mon Sep 25 22:25:57 EEST 2023","Mon Sep 25 22:25:58 EEST 2023","380","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Mon Sep 25 22:24:26 EEST 2023","Mon Sep 25 22:24:29 EEST 2023","2738","","lOGIN Home Page","","","","Invalid Username and Invalid Password",""
"passed","Mon Sep 25 22:26:07 EEST 2023","Mon Sep 25 22:26:07 EEST 2023","191","Cypress APIs","Cypress.spec","","","","Get current spec information",""
"passed","Mon Sep 25 22:25:39 EEST 2023","Mon Sep 25 22:25:40 EEST 2023","765","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Mon Sep 25 22:26:19 EEST 2023","Mon Sep 25 22:26:19 EEST 2023","189","","Location","","","","cy.location() - get window.location",""
"passed","Mon Sep 25 22:25:24 EEST 2023","Mon Sep 25 22:25:27 EEST 2023","2248","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Mon Sep 25 22:25:58 EEST 2023","Mon Sep 25 22:25:58 EEST 2023","373","","Cookies","","","","cy.clearCookies() - clear browser cookies for the current domain",""
"passed","Mon Sep 25 22:27:54 EEST 2023","Mon Sep 25 22:27:55 EEST 2023","642","","Window","","","","cy.window() - get the global window object",""
"passed","Mon Sep 25 22:25:17 EEST 2023","Mon Sep 25 22:25:19 EEST 2023","2670","","Actions","","","",".click() - click on a DOM element",""
"passed","Mon Sep 25 22:25:57 EEST 2023","Mon Sep 25 22:25:57 EEST 2023","341","","Cookies","","","","cy.getAllCookies() - get all browser cookies",""
"passed","Mon Sep 25 22:27:19 EEST 2023","Mon Sep 25 22:27:19 EEST 2023","203","","Traversal","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Mon Sep 25 22:27:04 EEST 2023","Mon Sep 25 22:27:04 EEST 2023","49","","Spies, Stubs, and Clock","","","","matches call arguments using Sinon matchers",""
"passed","Mon Sep 25 22:21:38 EEST 2023","Mon Sep 25 22:22:05 EEST 2023","26599","","Add Employee Using API","","","","Add Employee Using UI ",""
"passed","Mon Sep 25 22:21:33 EEST 2023","Mon Sep 25 22:21:34 EEST 2023","506","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Mon Sep 25 22:26:55 EEST 2023","Mon Sep 25 22:26:56 EEST 2023","847","","Querying","","","","best practices - selecting elements",""
"passed","Mon Sep 25 22:25:14 EEST 2023","Mon Sep 25 22:25:15 EEST 2023","310","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Mon Sep 25 22:26:26 EEST 2023","Mon Sep 25 22:26:26 EEST 2023","190","","Misc","","","","cy.wrap() - wrap an object",""
"passed","Mon Sep 25 22:25:20 EEST 2023","Mon Sep 25 22:25:21 EEST 2023","1127","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Mon Sep 25 22:25:41 EEST 2023","Mon Sep 25 22:25:41 EEST 2023","236","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Mon Sep 25 22:26:13 EEST 2023","Mon Sep 25 22:26:13 EEST 2023","177","","Files","","","","cy.readFile() - read file contents",""
"passed","Mon Sep 25 22:25:50 EEST 2023","Mon Sep 25 22:25:50 EEST 2023","215","Connectors",".then()","","","","yields the original subject without return",""
"passed","Mon Sep 25 22:26:35 EEST 2023","Mon Sep 25 22:26:36 EEST 2023","791","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Mon Sep 25 22:26:06 EEST 2023","Mon Sep 25 22:26:06 EEST 2023","191","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Mon Sep 25 22:26:25 EEST 2023","Mon Sep 25 22:26:25 EEST 2023","290","","Misc","","","","cy.exec() - execute a system command",""
"passed","Mon Sep 25 22:27:20 EEST 2023","Mon Sep 25 22:27:20 EEST 2023","204","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"passed","Mon Sep 25 22:25:56 EEST 2023","Mon Sep 25 22:25:57 EEST 2023","370","","Cookies","","","","cy.getCookies() - get browser cookies for the current domain",""
"passed","Mon Sep 25 22:24:33 EEST 2023","Mon Sep 25 22:24:34 EEST 2023","1261","","lOGIN Home Page","","","","Check Password Type",""
"passed","Mon Sep 25 22:24:19 EEST 2023","Mon Sep 25 22:24:22 EEST 2023","2925","","lOGIN Home Page","","","","Invalid Username and Valid Password",""
"passed","Mon Sep 25 22:24:01 EEST 2023","Mon Sep 25 22:24:08 EEST 2023","7393","","lOGIN Home Page","","","","Valid Login",""
"passed","Mon Sep 25 22:26:25 EEST 2023","Mon Sep 25 22:26:26 EEST 2023","380","","Misc","","","","cy.focused() - get the DOM element that has focus",""
"passed","Mon Sep 25 22:26:43 EEST 2023","Mon Sep 25 22:26:43 EEST 2023","632","","Network Requests","","","","cy.request() with query parameters",""
"passed","Mon Sep 25 22:25:49 EEST 2023","Mon Sep 25 22:25:49 EEST 2023","221","","Connectors","","","",".its() - get properties on the current subject",""
"passed","Mon Sep 25 22:25:10 EEST 2023","Mon Sep 25 22:25:14 EEST 2023","4685","","Actions","","","",".type() - type into a DOM element",""
"passed","Mon Sep 25 22:25:20 EEST 2023","Mon Sep 25 22:25:20 EEST 2023","351","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Mon Sep 25 22:24:22 EEST 2023","Mon Sep 25 22:24:26 EEST 2023","3752","","lOGIN Home Page","","","","Valid Username and Invalid Password",""
"passed","Mon Sep 25 22:27:27 EEST 2023","Mon Sep 25 22:27:27 EEST 2023","306","","Utilities","","","","Cypress.$ - call a jQuery method",""
"passed","Mon Sep 25 22:24:30 EEST 2023","Mon Sep 25 22:24:31 EEST 2023","1395","","lOGIN Home Page","","","","Empty Username",""
"passed","Mon Sep 25 22:27:18 EEST 2023","Mon Sep 25 22:27:18 EEST 2023","190","","Traversal","","","",".first() - get first DOM element",""
"passed","Mon Sep 25 22:21:34 EEST 2023","Mon Sep 25 22:21:34 EEST 2023","428","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Mon Sep 25 22:27:48 EEST 2023","Mon Sep 25 22:27:49 EEST 2023","971","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Mon Sep 25 22:27:20 EEST 2023","Mon Sep 25 22:27:20 EEST 2023","197","","Traversal","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Mon Sep 25 22:27:19 EEST 2023","Mon Sep 25 22:27:19 EEST 2023","198","","Traversal","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Mon Sep 25 22:27:19 EEST 2023","Mon Sep 25 22:27:19 EEST 2023","190","","Traversal","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Mon Sep 25 22:21:34 EEST 2023","Mon Sep 25 22:21:34 EEST 2023","459","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Mon Sep 25 22:25:55 EEST 2023","Mon Sep 25 22:25:56 EEST 2023","910","","Cookies","","","","cy.getCookie() - get a browser cookie",""
"passed","Mon Sep 25 22:25:15 EEST 2023","Mon Sep 25 22:25:15 EEST 2023","600","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Mon Sep 25 22:26:12 EEST 2023","Mon Sep 25 22:26:13 EEST 2023","785","","Files","","","","cy.fixture() - load a fixture",""
"passed","Mon Sep 25 22:27:16 EEST 2023","Mon Sep 25 22:27:17 EEST 2023","689","","Traversal","","","",".children() - get child DOM elements",""
"passed","Mon Sep 25 22:26:34 EEST 2023","Mon Sep 25 22:26:35 EEST 2023","794","","Navigation","","","","cy.reload() - reload the page",""
"passed","Mon Sep 25 22:27:17 EEST 2023","Mon Sep 25 22:27:17 EEST 2023","205","","Traversal","","","",".closest() - get closest ancestor DOM element",""
